id,angular_moment,contrast,variance,idm,sum_average,entropy,sum_variance,sum_entropy,difference_variance,difference_entropy
nhz-00_1,6493296162.0,19321556.0,2.76e+18,88800.9119,9597206.0,123046.2084,1.19e+19,-508712.401,3.46e+16,524138.387
nhz-00_2,6631770752.0,18655416.0,2.37e+18,88478.58253,8954379.0,121146.4145,1.04e+19,-514807.2439,3.12e+16,517894.0297
nhz-00_3,4962446400.0,15833160.0,3.71e+18,84199.1498,11023197.0,125781.1401,1.57e+19,-480124.378,3.57e+16,522698.1871
nhz-00_4,6675499268.0,19774028.0,2.47e+18,89219.64589,9120173.0,121565.6051,1.08e+19,-514760.1423,3.15e+16,520648.6564
rj-00_1,7338723574.0,20990990.0,1.73e+18,92917.4323,7626609.0,121663.8625,7.53e+18,-528211.7399,3.1e+16,532143.3203
rj-00_2,6732240376.0,17902322.0,2.15e+18,90231.65203,8424542.0,123982.9221,9.19e+18,-512730.1799,3.28e+16,532047.4984
rj-00_3,6774144786.0,20277172.0,1.78e+18,90562.58425,7724266.0,121903.6536,7.73e+18,-517633.8022,3.25e+16,526427.9861
rj-00_4,6648073428.0,18545014.0,2.04e+18,91108.16115,8218139.0,123375.0717,8.75e+18,-514947.4188,3.28e+16,533603.159
syj-00_1,5783512724.0,18611144.0,3.8e+18,85585.27831,11097357.0,126738.5673,1.6e+19,-492031.4693,4.67e+16,531162.489
syj-00_2,5962055094.0,19227416.0,3.03e+18,87145.67619,9970815.0,125327.6152,1.29e+19,-497304.0233,4.03e+16,528257.3061
syj-00_3,6094362824.0,17785414.0,3.81e+18,88297.44103,11059940.0,127905.81,1.58e+19,-496180.6622,4.25e+16,540236.7426
syj-00_4,6233743950.0,16913696.0,3.5e+18,89607.22879,10607563.0,127474.6526,1.46e+19,-499165.8767,4e+16,541752.4387
wl-00_1,3666303156.0,17345006.0,3.79e+18,75076.83783,11347927.0,121474.727,1.67e+19,-461419.5845,4.54e+16,491713.1519
wl-00_2,4478073338.0,15724854.0,3.6e+18,76983.04784,11094278.0,120515.1317,1.59e+19,-477460.6467,4.13e+16,493931.821
wl-00_3,4462926430.0,16592940.0,3.25e+18,76512.43501,10569178.0,120192.5055,1.45e+19,-476922.5805,4.31e+16,490022.1714
wl-00_4,3776767854.0,15492954.0,4.49e+18,75159.01468,12287946.0,122895.889,1.96e+19,-459763.5517,4.28e+16,496501.5714
wq-00_1,7180251658.0,18308298.0,2.79e+18,92674.64835,9477446.0,127049.7478,1.16e+19,-514766.8851,3.54e+16,546300.7343
wq-00_2,7445716758.0,19313066.0,2.37e+18,93482.93245,8748095.0,126705.2491,9.91e+18,-519644.1762,3.5e+16,546834.2354
wq-00_3,7476993750.0,20667042.0,1.63e+18,92633.89244,7388715.0,122061.2867,7.07e+18,-527904.1465,2.96e+16,530908.0732
wq-00_4,7060590280.0,18202586.0,2.54e+18,92264.26978,9066905.0,126746.1184,1.06e+19,-512973.7996,3.53e+16,544308.5518
wyc-00_1,6629803354.0,17526626.0,2.59e+18,89597.02046,9031975.0,130505.8307,1.06e+19,-502469.2893,3.87e+16,551206.1041
wyc-00_2,6641029028.0,18842160.0,2.07e+18,89826.73645,8157935.0,128085.831,8.62e+18,-506120.754,4.02e+16,542993.5977
wyc-00_3,6070538878.0,17413838.0,2.81e+18,88245.56954,9415070.0,130616.9946,1.15e+19,-493713.9056,4.24e+16,547130.1858
wyc-00_4,5507609972.0,14111384.0,2.95e+18,85694.5607,9615587.0,131854.2832,1.2e+19,-483870.1619,3.61e+16,546480.7123
xch-00_1,6024415834.0,18331952.0,3.39e+18,87525.01008,10494619.0,126512.6106,1.43e+19,-496168.1629,3.95e+16,533592.8396
xch-00_2,6594741732.0,17846284.0,3.31e+18,89461.79158,10352764.0,126795.4534,1.39e+19,-505031.0779,3.79e+16,537474.3213
xch-00_3,6369979552.0,16044492.0,2.24e+18,87227.78527,8675360.0,122154.4921,9.75e+18,-508417.4574,3.09e+16,517692.2187
xch-00_4,6739661872.0,18523634.0,3.29e+18,90306.44625,10309797.0,127319.2341,1.38e+19,-506721.9748,3.74e+16,541304.6349
xxj-00_1,7504630748.0,18866772.0,2.26e+18,94135.15254,8508014.0,128026.4565,9.38e+18,-519890.4547,3.79e+16,553181.8996
xxj-00_2,5529290438.0,14506518.0,3.11e+18,89800.62021,9931561.0,129527.3499,1.28e+19,-488502.4279,3.41e+16,548895.8821
xxj-00_3,7173560186.0,18844328.0,2.13e+18,92489.00527,8267166.0,127775.3917,8.85e+18,-514310.1665,3.93e+16,547991.7343
xxj-00_4,7855619196.0,18114302.0,2.51e+18,95362.33066,8945694.0,128403.5971,1.04e+19,-524045.0505,3.62e+16,556858.6731
yjf-00_1,5700991950.0,19530240.0,2.82e+18,84714.109,9715203.0,122817.083,1.22e+19,-496231.3695,3.77e+16,515405.0823
yjf-00_2,5652363160.0,19153160.0,2.76e+18,84108.53087,9653862.0,121601.0138,1.21e+19,-497026.9735,3.53e+16,510676.6229
yjf-00_3,5829869470.0,18800124.0,2.53e+18,85920.36034,9271215.0,120862.4105,1.11e+19,-501877.0506,3.27e+16,512138.0586
yjf-00_4,5653127232.0,18700836.0,2.95e+18,84841.92015,9915724.0,123288.0064,1.27e+19,-494289.4336,3.63e+16,516816.6311
zc-00_1,3817982538.0,15914150.0,6.81e+18,77669.44214,14678448.0,130740.2876,2.79e+19,-450775.0483,5.37e+16,529287.4618
zc-00_2,4584932536.0,17570142.0,6.5e+18,79978.66045,14387226.0,130019.6752,2.68e+19,-464619.8838,5.41e+16,529524.5113
zc-00_3,4502886994.0,17021698.0,6.26e+18,80017.48394,14137446.0,129271.8654,2.59e+19,-465895.8285,5.27e+16,529709.4782
zc-00_4,3809233712.0,16173148.0,5.65e+18,75642.82031,13535677.0,128041.9946,2.37e+19,-452248.7361,5.08e+16,513325.3076
zdx-00_1,2657912888.0,14694158.0,6.42e+18,77955.04468,14293207.0,129852.4346,2.65e+19,-437109.202,4.13e+16,527235.1568
zdx-00_2,5317649716.0,20189090.0,4.11e+18,83471.6857,11639429.0,124774.3322,1.75e+19,-485966.2965,4.28e+16,518314.4473
zdx-00_3,5419660324.0,17548106.0,4.25e+18,84394.93429,11752883.0,126549.6615,1.79e+19,-485197.9585,4.16e+16,527216.3473
zdx-00_4,5272293438.0,18337360.0,4.85e+18,84429.05254,12473632.0,128315.2534,2.02e+19,-480562.1242,4.62e+16,533541.8716
zjg-00_1,5945665956.0,14804920.0,3.52e+18,89656.26741,10444741.0,132902.9505,1.41e+19,-491029.8437,3.89e+16,559314.6224
zjg-00_2,7388858430.0,20484544.0,9.05e+17,92399.46026,5509403.0,122066.6453,3.93e+18,-530105.8262,3.37e+16,531250.8372
zjg-00_3,7301731254.0,15643514.0,2.98e+18,94417.23884,9654106.0,131233.1125,1.21e+19,-514466.6792,3.69e+16,565167.4502
zjg-00_4,6468975018.0,13890502.0,3.3e+18,91112.52003,10150010.0,132305.9703,1.33e+19,-500256.764,3.2e+16,560242.9967
zyf-00_1,6615681086.0,22451342.0,1.78e+18,86944.33501,7863447.0,118047.5448,8.01e+18,-519413.5599,3.22e+16,504761.9836
zyf-00_2,6141481234.0,19503416.0,1.91e+18,84903.32447,8115326.0,118863.1731,8.53e+18,-509939.9018,3.21e+16,503326.2365
zyf-00_3,6220472284.0,19272186.0,1.6e+18,85352.92706,7453713.0,117922.2807,7.2e+18,-512868.5461,2.97e+16,500448.0539
zyf-00_4,6734477592.0,22028178.0,1.69e+18,86877.63553,7679978.0,117498.4188,7.64e+18,-521764.6015,3.15e+16,502749.6722
001-bg-01,5451263170.0,20634778.0,3.3973201565883075e+18,87439.62901275899,10562090.0,125201.92327100968,1.445088683781288e+19,-489692.6061821349,3.566422793725608e+16,527806.4876827593
001-bg-02,5240532728.0,17927942.0,3.8914533086133263e+18,86203.59986724908,11252280.0,126367.7319066373,1.6401225252492749e+19,-483590.6856893785,3.694419430798244e+16,529994.3770317441
001-cl-01,6121906022.0,22380118.0,2.156399089154161e+18,88987.92483034373,8530150.0,121582.68238664376,9.425540452853314e+18,-507430.2377164484,3.0913103853446264e+16,519563.1653830124
001-cl-02,7738765648.0,25360740.0,1.316760691556653e+18,92271.78208122612,6763509.0,117569.89120736672,5.925626326785503e+18,-539206.6652723153,3.0283013256776736e+16,514865.2491753852
001-nm-01,6476648656.0,21823244.0,2.036298894890737e+18,89765.65631578332,8241935.0,122977.6531971694,8.799372363374341e+18,-510527.014174397,3.2480749405140824e+16,526054.346328615
001-nm-02,7502130022.0,24271704.0,1.260939409395176e+18,92156.96547365013,6568367.0,119781.52201138376,5.588635332843715e+18,-531849.1443521484,2.871671456117747e+16,522194.2892300749
001-nm-03,7391020962.0,21889168.0,1.554148209989364e+18,92029.69723227742,7246859.0,121244.95250914896,6.802863496087226e+18,-527778.3284314069,3.043746340674231e+16,525688.158740524
001-nm-04,5163723064.0,17459390.0,3.556260127109184e+18,88965.86960767137,10661420.0,128607.10552041554,1.4724004520058946e+19,-482715.7492237688,3.2003512925113216e+16,543842.782600966
001-nm-05,7560176208.0,25111590.0,1.278235676298371e+18,91813.06196178334,6625491.0,119301.95082457727,5.686262802061882e+18,-533926.6082164577,2.976734294852965e+16,520534.4534818602
001-nm-06,4933552250.0,17163876.0,3.646591237824983e+18,88125.03444712458,10801439.0,128524.04814465484,1.5113290863634774e+19,-478926.2280614669,3.299107851152955e+16,541578.5702694968
002-bg-01,6515386344.0,19366318.0,2.0690692620114908e+18,87578.5597869861,8344038.0,122059.2182699082,9.018732708354596e+18,-510886.8989062167,3.567759362236235e+16,518440.2906785477
002-bg-02,6661371400.0,14611762.0,3.012130637958297e+18,89740.52909019528,9877122.0,126811.62466838043,1.26373498108937e+19,-506376.0119665643,3.386546449573589e+16,540281.381559142
002-cl-01,7002861996.0,20613918.0,1.549474094943298e+18,89220.54237149128,7306208.0,118968.60052965756,6.914729015342775e+18,-524656.5705261125,2.922267319582435e+16,513056.82713584846
002-cl-02,7379197978.0,22084598.0,1.3960692946409992e+18,90941.40443552412,6945400.0,118604.20239738029,6.248635982361532e+18,-531818.3583019847,2.752878207253829e+16,515791.9243253507
002-nm-01,7110848656.0,20922136.0,1.9456157936982612e+18,90623.46336683356,8016107.0,124327.08808786652,8.323783721631105e+18,-517910.9520063747,3.5864748141888064e+16,532598.2993512573
002-nm-02,7045436538.0,20161220.0,2.3212093822757217e+18,91157.874438488,8707150.0,125649.87677632256,9.820793443502764e+18,-514683.5121113253,3.675103239958726e+16,537930.0066467503
002-nm-03,7466848752.0,23134130.0,2.2017154149815803e+18,92829.40196611448,8480336.0,125623.76494080694,9.315809777912533e+18,-521429.0219613992,3.5654529890350176e+16,541102.4503350361
002-nm-04,7136759902.0,18886954.0,2.622028256059161e+18,91925.84839459784,9212815.0,126871.10119824857,1.099460929479967e+19,-514128.2165540022,3.4383767304006504e+16,543764.4921826508
002-nm-05,7129219330.0,18628564.0,2.7225062334449823e+18,91617.8247872704,9366148.0,127634.02438742136,1.13636373138122e+19,-512361.0657971439,3.63411288543639e+16,544216.6651280251
002-nm-06,7844119318.0,19389350.0,2.2565941118275955e+18,95379.7857065129,8543113.0,126555.52410563224,9.454253981046305e+18,-526779.0635011245,3.324243770667283e+16,550674.871994218
003-bg-01,6806152846.0,19562996.0,1.9150136651457367e+18,90257.86625929608,8074400.0,120201.63528695928,8.445254806064714e+18,-521130.7712399109,3.2572192635955256e+16,519612.87307980575
003-bg-02,5177944276.0,15784790.0,3.716060210715941e+18,84864.64995147442,10992969.0,126706.54373793214,1.565399577847411e+19,-481347.5514436664,3.65387868738398e+16,528076.3820195979
003-cl-01,7690900160.0,19915302.0,1.5764564833631104e+18,93712.85709823684,7317615.0,120152.30298746387,6.936349817747594e+18,-536138.348200192,2.941387412792196e+16,528918.3671067811
003-cl-02,7836839922.0,20987124.0,1.3834324647805972e+18,93358.49773330647,6886003.0,119299.50940400928,6.142221824225237e+18,-538697.5683710115,2.8705786024028016e+16,524172.013387562
003-nm-01,7771212396.0,19147474.0,1.430465699926242e+18,93792.83088753134,6950657.0,120955.41750624096,6.258116619540185e+18,-536558.8978731543,2.9307194510638304e+16,532267.3180360524
003-nm-02,7953432164.0,23047060.0,1.3841102124810703e+18,95543.25474234438,6830183.0,121151.68995821476,6.043056701212841e+18,-538098.2231418258,2.920851272814085e+16,534982.0178984203
003-nm-03,8056800754.0,20373898.0,1.2947154989641784e+18,94990.18997135504,6615694.0,120802.42705753758,5.669469886828141e+18,-540861.9192171787,2.8065784942175056e+16,533641.9140166582
003-nm-04,7931077244.0,21215908.0,1.3330250178533517e+18,94870.98198959162,6719858.0,120600.48045850784,5.849406615218511e+18,-539441.529621276,2.9408719364066936e+16,532531.9824495793
003-nm-05,8229508878.0,20371596.0,1.2600543914022323e+18,95619.7218402962,6533833.0,120553.76534879902,5.530030516069048e+18,-544259.6562129002,2.8221009143313136e+16,534356.1035516729
003-nm-06,8226976234.0,22373816.0,1.2422404843614438e+18,96274.30899431904,6491301.0,120284.53312169456,5.458267890266903e+18,-545803.0285412066,2.8486739572050296e+16,536116.1895309626
004-bg-01,7507371692.0,23106966.0,1.4265749079920282e+18,90241.1710325731,7025685.0,118487.86309047308,6.393932051333723e+18,-532629.5353180347,3.1880687268939816e+16,512635.4651007653
004-bg-02,7490196242.0,21935728.0,1.4472293468138852e+18,90735.68925921616,7062493.0,118886.5673799474,6.461107633775761e+18,-531969.939094367,3.012000495664217e+16,515016.5234290494
004-cl-01,5089705564.0,15857570.0,3.860391643270322e+18,88354.32966624685,11100383.0,128742.3373324683,1.5961431863037336e+19,-479396.8279201912,2.889155855460336e+16,544472.3340976532
004-cl-02,8178864316.0,24516666.0,1.1759353298181484e+18,94054.0580390653,6361941.0,118856.1708823432,5.242876443482416e+18,-544015.1511249932,2.683314490530763e+16,523937.6106098257
004-nm-01,8338325788.0,26876104.0,1.061831968833886e+18,95352.40949824538,6025040.0,119735.34714402926,4.702300448814763e+18,-545556.7603540135,2.671287969604959e+16,529793.2203122235
004-nm-02,8359975740.0,26663110.0,1.256148063162296e+18,96027.07101864104,6526242.0,120702.37711241371,5.517188853118761e+18,-544139.0932466035,2.6882584125408584e+16,534049.9022405349
004-nm-03,8429018282.0,25702662.0,1.2108719272254124e+18,95957.67603890164,6403848.0,120783.17743012228,5.312188358396585e+18,-544893.4180600322,2.826977996941024e+16,533867.5370194174
004-nm-04,8337090540.0,23350644.0,1.1740791280856911e+18,95082.86784891244,6313926.0,120602.05712122007,5.164046843553471e+18,-543565.4645389778,2.700169837171097e+16,531657.3296405016
004-nm-05,8449940852.0,27498046.0,1.2424468556494044e+18,96306.0590196719,6483362.0,120984.33398097807,5.444928021321282e+18,-544826.7540312945,2.710729773183277e+16,535529.5959563764
004-nm-06,8440808380.0,26220088.0,1.2871178620209042e+18,96308.33738377428,6593349.0,121151.35628223044,5.631238307664842e+18,-544521.1860686736,2.760058389288852e+16,535955.2987408765
006-bg-01,6692830526.0,21031232.0,2.349217251516609e+18,90440.57288654373,8863731.0,122606.96204425055,1.0177162001032616e+19,-514409.0396301276,3.2947042612007544e+16,526975.6922585113
006-bg-02,6639161372.0,20827726.0,2.41496521615584e+18,89564.65953173673,8982419.0,122707.96085751966,1.0451537997032522e+19,-512532.4848396026,3.468395809823196e+16,525490.9616129788
006-cl-01,6460603286.0,19659934.0,2.053851522033883e+18,88802.0898064717,8341221.0,120979.3630666181,9.012636872337044e+18,-513409.4555112122,3.1503558889775824e+16,518434.0919127236
006-cl-02,5100863588.0,18551472.0,3.1792968522207334e+18,87307.76160706773,10216059.0,125186.40528792156,1.3519526280940763e+19,-486415.1242920314,3.1887325598181584e+16,529027.4470594624
006-nm-01,7020608790.0,18156636.0,2.8185327408326574e+18,92730.42112295658,9541571.0,126882.1658738622,1.1793290320459293e+19,-512581.603750852,3.456016605924917e+16,545635.1390367794
006-nm-02,6787710862.0,18326264.0,2.391791886646603e+18,91323.4534683739,8851751.0,125153.01131973192,1.0149691210865142e+19,-512133.41587547015,3.293454465801601e+16,538083.1455063691
006-nm-03,7085209336.0,17885966.0,2.128131453191675e+18,91795.31792189408,8377069.0,124283.29457032948,9.090299095812172e+18,-518177.3203182974,3.2134242747283264e+16,536115.7997957111
006-nm-04,6890717248.0,18012202.0,1.9857047588851748e+18,90720.72653644424,8113757.0,123613.0193991594,8.527811526400443e+18,-515836.3412010992,3.2376046141271784e+16,532191.7190354001
006-nm-05,7033047980.0,18595318.0,2.060483492008216e+18,91495.30113354026,8245907.0,124216.69323779386,8.807867341017855e+18,-517679.47440736135,3.2844417933172544e+16,535488.6333297889
006-nm-06,6852441896.0,18931098.0,2.75483058308171e+18,93209.01014580549,9436976.0,126706.306532839,1.15361499645531e+19,-512349.69986476825,3.4323437072996936e+16,547163.6343999995
007-bg-01,7054033262.0,22563176.0,1.495734402398567e+18,91545.2805523096,7133039.0,120192.8625298537,6.590841045122003e+18,-524858.1404451553,2.8706014105743188e+16,522289.6455997857
007-bg-02,7306899452.0,20707844.0,1.448534997854163e+18,92744.5167440308,7025966.0,119839.1389639538,6.39445534636549e+18,-530426.0909862621,2.8925961977821304e+16,524775.9446657919
007-cl-01,5204671034.0,17485302.0,3.568868076183901e+18,90771.4237115174,10621959.0,129708.7097098473,1.4615225177618244e+19,-483474.0662069259,3.339752400660845e+16,552376.2743492356
007-cl-02,7652954800.0,24676358.0,1.1935931085865116e+18,93155.35558038976,6385875.0,119910.2964473618,5.282405323874301e+18,-534861.9669997698,3.0319088175717664e+16,525013.4818115921
007-nm-01,8504892520.0,28441756.0,8.991427885378099e+17,96922.58908302848,5539596.0,119816.75644183483,3.975083601856955e+18,-549425.1890109559,2.6246543932538976e+16,534697.8094418882
007-nm-02,7990879824.0,25045760.0,1.032578610877382e+18,95251.77016570818,5922685.0,120421.3545136654,4.543892385622895e+18,-540280.3725834051,2.6711755022722856e+16,531987.7285351589
007-nm-03,7947117288.0,26828152.0,1.037084138773234e+18,95092.46160313986,5954599.0,119592.17766259398,4.592989355687038e+18,-541631.3340410761,2.695656386164144e+16,530142.7568170227
007-nm-04,5238338820.0,16447548.0,3.18429111776382e+18,89973.12687332576,10095253.0,128206.63353810555,1.320170727066116e+19,-485088.2783878466,3.0376451542024896e+16,545417.1974474475
007-nm-05,7735743246.0,23564818.0,1.1151199497583782e+18,93748.08247549308,6171333.0,119738.19786716808,4.93342614473607e+18,-537574.6247471864,2.774197378829747e+16,527807.9398736887
007-nm-06,6577913320.0,21304812.0,2.378515735777915e+18,92484.14100608372,8820459.0,125183.10837174628,1.0078058193125112e+19,-509756.2208850614,3.0428806834582576e+16,540389.6487403341
008-bg-01,5820184674.0,15938752.0,3.3603974952758195e+18,90356.59553242804,10305781.0,130098.02460062246,1.375808724367466e+19,-489705.5978513862,3.315494721481639e+16,551159.3643254807
008-bg-02,8206475434.0,23988492.0,1.3076930356851686e+18,95098.79184001082,6610813.0,122406.3279372698,5.661115920207551e+18,-538553.4053213306,3.097141223916525e+16,536320.2982088189
008-cl-01,8572235878.0,23484864.0,1.2075742406426035e+18,96920.0001610436,6383503.0,121077.26283259314,5.278490687666099e+18,-547308.0628580683,2.6151856087051944e+16,537617.9929528343
008-cl-02,8246541184.0,20795496.0,1.991152274876756e+18,96966.20804746637,8073297.0,124859.24414881416,8.442986243370189e+18,-535739.9114778728,3.058592451401372e+16,548089.8787022736
008-nm-01,8677355964.0,23536334.0,1.0504280807438671e+18,97431.5624445541,5930968.0,121954.16157928277,4.556620713782404e+18,-547711.2468822263,2.66748422083972e+16,542135.439177211
008-nm-02,8221967518.0,19312734.0,1.4970224981081608e+18,95971.3227211979,7011790.0,124639.5006155008,6.368708765789804e+18,-535130.8315566921,2.910464760507904e+16,545020.8610383741
008-nm-03,8282934226.0,21027156.0,1.177198377820005e+18,95804.46337264562,6270440.0,122452.58846512147,5.093170380711168e+18,-540340.055331077,2.8062956932996624e+16,539646.383391834
008-nm-04,8430848524.0,23386680.0,1.1124652982896736e+18,96849.87613071756,6106682.0,121992.02914828285,4.830615158009089e+18,-543858.5492190588,2.789027671577533e+16,540088.560730245
008-nm-05,8477530826.0,23033108.0,1.165379250204788e+18,96744.79504395914,6232647.0,122516.25198042711,5.031960921535502e+18,-543530.6189014252,2.82446382419834e+16,541731.3783446874
008-nm-06,8690628246.0,23618498.0,9.886183662612986e+17,97010.62147757414,5768906.0,121464.06770059216,4.311001384622448e+18,-548676.846631106,2.6747626187742696e+16,539291.9670661868
009-bg-01,7139967294.0,24763062.0,1.515479139225316e+18,89878.70107457752,7238412.0,118525.63480453123,6.786994413619118e+18,-527773.885674224,3.117692503545769e+16,513053.63790572993
009-bg-02,7263882270.0,26200972.0,1.452155991536207e+18,90646.4606607796,7081502.0,118696.23350829004,6.495934343048155e+18,-529435.459049211,3.168213745440169e+16,515224.2380865087
009-cl-01,7401662284.0,26454246.0,1.1600176935750536e+18,90436.6535722909,6408106.0,115791.33887690064,5.31922237208126e+18,-536984.7340989561,2.6494872655673616e+16,506671.7743240151
009-cl-02,7392267220.0,25425940.0,1.2209544347888876e+18,90394.6947384403,6566083.0,115971.37408835316,5.584725325490181e+18,-536541.5936755758,2.704048964486759e+16,507209.1279781836
009-nm-01,7893892964.0,29445970.0,1.1426548971910132e+18,93522.06103799486,6271399.0,118986.105386564,5.094706821231618e+18,-539989.9011278102,2.8248418887116944e+16,523872.0310143638
009-nm-02,7780584350.0,28535098.0,1.1503405952573036e+18,93339.11437898822,6295895.0,118950.83977746258,5.134583972712395e+18,-538323.9800031156,2.737569690365211e+16,523137.842788609
009-nm-03,7794293548.0,27408692.0,1.151735201487462e+18,93607.7861051418,6302420.0,118849.87875345442,5.1452324110185e+18,-538928.4783491095,2.629628834412843e+16,523746.7352377269
009-nm-04,7835191000.0,28375018.0,1.1965554155635318e+18,93829.11798351198,6412411.0,119121.90252551048,5.326393890477201e+18,-539494.580600066,2.7813743056346304e+16,525378.2418052125
009-nm-05,7811183618.0,28346162.0,1.1545164130151967e+18,93619.10390998678,6309994.0,118806.84745535551,5.157605910302026e+18,-539294.254548148,2.7755583540134856e+16,523206.630494898
009-nm-06,8165037682.0,24291946.0,1.2300924390630564e+18,95006.84035890976,6481487.0,119702.11325167368,5.441771182458081e+18,-543287.922585573,2.758841504897368e+16,529393.1344710912
010-bg-01,4600678856.0,16508416.0,4.126496927361924e+18,85112.32908700379,11435587.0,130060.95599503096,1.693999003747142e+19,-468652.78567404347,3.6759512597609656e+16,540619.1977691725
010-bg-02,7430401920.0,20236374.0,1.935298310923024e+18,91453.4789913636,8056483.0,122365.69858741606,8.407831677260858e+18,-525261.8577321381,3.4062240360298176e+16,526720.3047043628
010-cl-01,7864845376.0,22464908.0,1.3036664818629627e+18,92827.37502018694,6685566.0,119313.94838341512,5.789848727949427e+18,-538308.7188331027,2.850065101349931e+16,522082.2990589429
010-cl-02,8019124980.0,23324284.0,1.2903465645566154e+18,93131.16403457134,6654616.0,119252.04238182372,5.736365402793783e+18,-540286.5585462835,2.9257241295690456e+16,521865.72065763583
010-nm-01,7705712792.0,24190002.0,2.0372462660003817e+18,95744.53095505248,8179210.0,124512.22895235912,8.665963803575432e+18,-528906.0198030067,3.1133850944847496e+16,546091.90242252
010-nm-02,4572182700.0,12810778.0,4.285893987662436e+18,84709.82533904983,11573276.0,132246.8729046539,1.7350395452798951e+19,-465436.2258677631,3.2878869256722176e+16,548125.1883027905
010-nm-03,7116497386.0,21076224.0,1.6063602004064988e+18,89698.9264501643,7349974.0,122148.02594537608,6.99784068405431e+18,-520944.2709381701,3.3997869304797704e+16,523054.8703365892
010-nm-04,7880799672.0,21896942.0,1.912805232574919e+18,94685.82857019272,7941508.0,124342.38861052015,8.169581725409621e+18,-530176.015962768,3.109583021108113e+16,541271.0672703771
010-nm-05,7316409274.0,20826470.0,1.5696610977383547e+18,91306.11284680884,7262815.0,122014.48285841911,6.832858306946474e+18,-525555.758058727,3.1628260603345104e+16,527247.3177079712
010-nm-06,7711878704.0,21295560.0,1.4421943481395817e+18,92789.7556720292,6965231.0,121782.6531495841,6.284391577934648e+18,-531867.0511012295,3.09837734394252e+16,529262.039215729
